time,idx,close,raw_regime,raw_signal,final_regime,final_signal,confidence,risk_multiplier,guardrails_applied
2025-09-10 00:00:00+00:00,63,113983.97,value_investing,buy,value_investing,hold,0.55,0.4,indicator_confirmation_failed: DCA/value buy needs RSI<=55 or price below EMA100
2025-09-18 00:00:00+00:00,71,117117.99,swing_trading,buy,swing_trading,hold,0.55,0.4,"indicator_confirmation_failed: swing buy needs close>EMA50, EMA20>EMA50, MACD hist>0, and RSI 45-75"
2025-09-27 00:00:00+00:00,80,109681.16,value_investing,buy,value_investing,hold,0.55,0.4,trade_cooldown_2_of_3
2025-10-03 00:00:00+00:00,86,122318.4,swing_trading,buy,swing_trading,hold,0.55,0.4,trade_cooldown_1_of_3
2025-10-07 00:00:00+00:00,90,121393.95,swing_trading,buy,swing_trading,hold,0.55,0.3,trade_cooldown_1_of_3
2025-10-14 00:00:00+00:00,97,113068.0,hold,hold,hold,hold,0.55,0.44999999999999996,medium_atr_volatility_75pct_risk
2025-10-15 00:00:00+00:00,98,110804.12,hold,hold,hold,hold,0.55,0.33749999999999997,medium_atr_volatility_75pct_risk
2025-10-16 00:00:00+00:00,99,108198.0,hold,hold,hold,hold,0.55,0.253125,medium_atr_volatility_75pct_risk
2025-10-17 00:00:00+00:00,100,106463.3,value_investing,buy,value_investing,buy,0.55,0.30000000000000004,medium_atr_volatility_75pct_risk
2025-10-18 00:00:00+00:00,101,107208.91,value_investing,buy,value_investing,hold,0.55,0.11250000000000002,medium_atr_volatility_75pct_risk; trade_cooldown_1_of_3
2025-10-19 00:00:00+00:00,102,108676.78,value_investing,hold,value_investing,hold,0.55,0.084375,medium_atr_volatility_75pct_risk
2025-10-20 00:00:00+00:00,103,110568.06,value_investing,hold,value_investing,hold,0.55,0.07500000000000001,medium_atr_volatility_75pct_risk
2025-10-21 00:00:00+00:00,104,108362.27,value_investing,hold,value_investing,hold,0.55,0.07500000000000001,medium_atr_volatility_75pct_risk
