time,type,position_id,entry_time,entry_price,exit_price,btc_sold,gross_usd,fee,net_usd,pnl,remaining_cash,reason
2025-09-22 00:00:00+00:00,swing,swing_20250917000000_1,2025-09-17 00:00:00+00:00,116484.4,115034.46357142857,0.06861004563701234,7892.5197954649475,7.892519795464947,7884.6272756694825,-107.37272433051749,99884.62727566948,swing_atr_stop_loss
2025-10-03 00:00:00+00:00,swing,swing_20251002000000_4,2025-10-02 00:00:00+00:00,120621.32,119965.17642857143,0.06625694363152385,7948.52593237367,7.94852593237367,7940.577406441296,-51.42259355870374,91825.20468211078,swing_atr_stop_loss
2025-10-06 00:00:00+00:00,dca,dca_20250922000000_2,2025-09-22 00:00:00+00:00,112736.59,124720.09,0.02658409306153397,3315.570479202892,3.315570479202892,3312.254908723689,315.25490872368937,95137.45959083446,dca_overheated_rsi_trim
2025-10-06 00:00:00+00:00,dca,dca_20250925000000_3,2025-09-25 00:00:00+00:00,109035.72,124720.09,0.027486405372477936,3428.1069518319314,3.4281069518319316,3424.6788448800994,427.6788448800994,98562.13843571456,dca_overheated_rsi_trim
2025-10-09 00:00:00+00:00,dca,dca_20250922000000_2,2025-09-22 00:00:00+00:00,112736.59,121714.51,0.006646023265383494,808.9174651947519,0.8089174651947519,808.1085477295571,58.85854772955702,99370.24698344411,dca_overheated_rsi_trim
2025-10-09 00:00:00+00:00,dca,dca_20250925000000_3,2025-09-25 00:00:00+00:00,109035.72,121714.51,0.006871601343119482,836.3735903931296,0.8363735903931296,835.5372168027365,86.28721680273668,100205.78420024685,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20250922000000_2,2025-09-22 00:00:00+00:00,112736.59,93722.01,0.0016615058163458735,155.71966473462612,0.15571966473462612,155.5639450698915,-31.748554930108526,78611.34814531675,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20250925000000_3,2025-09-25 00:00:00+00:00,109035.72,93722.01,0.0017179003357798706,161.00507244896437,0.16100507244896436,160.8440673765154,-26.468432623484546,78772.19221269326,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20251017000000_5,2025-10-17 00:00:00+00:00,106463.3,93722.01,0.010556454665598382,989.3721497337582,0.9893721497337582,988.3827775840244,-135.4922224159758,79760.57499027728,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20251101000000_6,2025-11-01 00:00:00+00:00,110052.25,93722.01,0.02042438932416193,1914.2148204829975,1.9142148204829976,1912.3006056625145,-335.4493943374855,81672.8755959398,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20251103000000_7,2025-11-03 00:00:00+00:00,106557.98,93722.01,0.021094149870333506,1976.9861250888955,1.9769861250888956,1975.0091389638067,-272.7408610361938,83647.88473490361,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20251104000000_8,2025-11-04 00:00:00+00:00,101468.15,93722.01,0.022152271427043856,2076.1554042081184,2.0761554042081185,2074.07924880391,-173.6707511960899,85721.96398370752,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20251112000000_9,2025-11-12 00:00:00+00:00,101639.01,93722.01,0.009214596836391854,863.6105368462856,0.8636105368462856,862.7469263094393,-73.81557369056054,86584.71091001696,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20251114000000_10,2025-11-14 00:00:00+00:00,94503.96,93722.01,0.009910298996994412,928.8131416993002,0.9288131416993002,927.884328557601,-8.678171442399162,87512.59523857456,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20251117000000_11,2025-11-17 00:00:00+00:00,92100.6,93722.01,0.010168907694412414,953.0504686247972,0.9530504686247973,952.0974181561724,15.534918156172239,88464.69265673074,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20251120000000_12,2025-11-20 00:00:00+00:00,86536.88,93722.01,0.010822697790814736,1014.3249905777166,1.0143249905777165,1013.3106655871388,76.74816558713883,89478.00332231788,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20251201000000_13,2025-12-01 00:00:00+00:00,86282.36,93722.01,0.013025547748114447,1220.7805163042597,1.2207805163042598,1219.5597357879553,95.68473578795533,90697.56305810584,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20251205000000_14,2025-12-05 00:00:00+00:00,89345.29,93722.01,0.010482505569124013,982.4414917744964,0.9824414917744965,981.4590502827219,44.896550282722046,91679.02210838856,dca_overheated_rsi_trim
2026-01-06 00:00:00+00:00,dca,dca_20251214000000_15,2025-12-14 00:00:00+00:00,88171.61,93722.01,0.019119674688938992,1791.934342393487,1.791934342393487,1790.1424080510935,104.3299080510933,93469.16451643965,dca_overheated_rsi_trim
