time,low,high,open,close,volume,ATR,rsi_14,sma_20,sma_50,sma_100,ema_20,ema_50,ema_100,macd,macd_signal,macd_hist,return_1,return_3,return_7,volatility_14,atr_pct,range_pct,close_to_high_pct,close_to_low_pct,volume_z_20,dist_ema20,dist_ema50,dist_ema100,rolling_peak,drawdown_from_peak,momentum_score
2025-07-09 00:00:00+00:00,108329.87,112152.91,108953.58,111282.85,7683.83239574,,,,,,111282.85,111282.85,111282.85,0.0,0.0,0.0,,,,,,0.0343542603375094,0.007818455404404161,0.02653580493310524,,0.0,0.0,0.0,111282.85,0.0,0.0
2025-07-10 00:00:00+00:00,110541.87,116842.0,111282.84,116031.3,12920.20742934,,,,,,111735.08333333334,111469.06372549021,111376.87871287129,378.7937321937352,75.75874643874704,303.03498575498816,0.042670096964626536,,,,,0.05429681473878173,0.006986907842969932,0.0473099068958118,,0.03845002427617103,0.040928273029591455,0.04178983412821056,116031.3,0.0,2.0
2025-07-11 00:00:00+00:00,115211.74,118909.74,116031.29,117582.16,10116.886206,,,,,,112291.9477777778,111708.79299115726,111499.75557004215,794.968038246443,219.60060480028625,575.3674334461568,0.013365876276487443,,,,,0.031450349270671675,0.01129065837878809,0.020159690891883582,,0.04711123394788175,0.05257748160708956,0.05455083196247004,117582.16,0.0,2.0
2025-07-12 00:00:00+00:00,116940.82,118244.51,117582.16,117472.65,2397.72381256,,,,,,112785.347989418,111934.82659934717,111618.03070726903,1103.2352234644204,396.3275285331131,706.9076949313073,-0.0009313487692351741,0.05562222750405832,,,,0.011097817236607736,0.006570550677115062,0.0045272665594926756,,0.04155949415540901,0.049473640768431935,0.052452271874293896,117582.16,0.00093134876923514,3.0
2025-07-13 00:00:00+00:00,117238.69,119500.0,117472.65,119130.81,3461.0430314,,,,,,113389.67770471152,112217.02202682376,111766.79861405578,1464.4574885387265,609.9535205342358,854.5039680044906,0.014115285557957602,0.026712705968130912,,,,0.01898173948452124,0.003099030385170741,0.0158827090993505,,0.050631877711474677,0.061610866589594596,0.06588728922417326,119130.81,0.0,3.0
2025-07-14 00:00:00+00:00,118949.18,123231.07,119130.81,119863.71,13536.79954839,,,,,,114006.25220902471,112516.89214341891,111927.13349298536,1789.2423687133269,845.8112901700541,943.4310785432727,0.0061520609152243555,0.0194038789557871,,,,0.035722989051482,0.02809324023092561,0.0076297488205563915,,0.05137839089943897,0.06529524337747014,0.07090842282235381,119863.71,0.0,3.0
2025-07-15 00:00:00+00:00,115697.37,119973.3,119863.71,117781.64,23726.31356081,,,,,,114365.81295102235,112723.352843677,112043.06431490644,1857.2221766140574,1048.0934674588548,809.1287091552026,-0.017370311664806737,0.0026303143753034774,,,,0.036303875544609565,0.01860782376608106,0.017696051778528506,,0.029867553605730852,0.04487346258532386,0.05121758959541493,119863.71,0.017370311664806695,3.0
2025-07-16 00:00:00+00:00,117033.23,120134.8,117781.63,118681.68,9250.98642597,,,,,,114776.84790806784,112957.01273216025,112174.52205124492,1961.1158474580734,1230.6979434586985,730.4179039993749,0.007641598469846356,-0.0037700574687606903,0.06648670482468755,,,0.026133519512025843,0.012243844205778094,0.013889675306247748,,0.03402107797087952,0.05068005190092869,0.05800923266499321,119863.71,0.009861450141998886,1.0
2025-07-17 00:00:00+00:00,117469.0,120998.76,118681.67,119273.69,8360.35130892,,,,,,115205.11858348995,113204.72556619318,112315.09963438858,2067.3909930201044,1398.0365533709798,669.3544396491245,0.004988217221057356,-0.004922423976364554,0.027944097842564908,,,0.02959378551967324,0.014463122588057705,0.015130662931615533,,0.03531589105185052,0.05361052202947276,0.06195596485479898,119863.71,0.004922423976364523,1.0
2025-07-18 00:00:00+00:00,116892.42,120918.68,119273.7,118023.05,8735.40386401,,,,,,115473.49300410996,113393.67946555816,112428.1283544997,2027.3288307906914,1523.8950088549223,503.4338219357692,-0.010485464145529533,0.002049640334435887,0.0037496334477951088,,,0.03411418362768963,0.02453444475464742,0.009579738873042212,,0.022079153661691872,0.0408256488038908,0.04976442930597252,119863.71,0.01535627422178075,3.0
